"","V4","total"
"1013","@tompelissero",16802
"1014","@gmmtv",16797
"1015","@luchaalmada",16783
"1016","@guinapolitano",16779
"1017","@prialcantara",16775
"1018","@hshaban",16759
"1019","@lilystgermain",16627
"1020","@epikhigz",16620
"1021","@SpeakerPelosi",16612
"1022","@cutimakan",16531
"1023","@jaketapper",16509
"1024","@jamiewithorne",16482
"1025","@mononcecouerant",16405
"1026","@cookyris",16388
"1027","@literelly",16344
"1028","@jamiemenno",16337
"1029","@jakelobin",16321
"1030","@thaidansker",16308
"1031","@profmakehappy",16286
"1032","@ibaillanos",16282
"1033","@asyrafrusni94",16278
"1034","@MrGee54",16252
"1035","@KyarraIman",16228
"1036","@tonyferraro7",16165
"1037","@barvbarbis",16120
"1038","@mikedon",16100
"1039","@chrismilburnnps",16085
"1040","@hinztamara",16079
"1041","@steveschmidtses",16079
"1042","@theauguststar",16047
"1043","@nepswirldabeard",16014
"1044","@MoSpruill",16013
"1045","@andrebrandt",15966
"1046","@GregAbbottTX",15930
"1047","@camieecamm",15809
"1048","@showmetheyamz",15805
"1049","@UNICEF",15794
"1050","@talkmaster",15786
"1051","@FaheemYounus",15715
"1052","@ioryhamon",15707
"1053","@heccctor11",15669
"1054","@moisturizednerd",15557
"1055","@mtgreenee",15553
"1056","@knoppryan",15495
"1057","@justintrudeau",15493
"1058","@omega3plus11",15486
"1059","@thecathooman",15480
"1060","@jasonhickel",15430
"1061","@CasualPS",15424
"1062","@elykreimendahl",15408
"1063","@mmithplease",15375
"1064","@neiladel",15370
"1065","@NicolaSturgeon",15335
"1066","@jaowrites",15304
"1067","@imvkohli",15233
"1068","@treasuremembers",15163
"1069","@redzuannewsmpb",15147
"1070","@tribelaw",15076
"1071","@suriyaoffl",15074
"1072","@rekhaberry",15028
"1073","@waniardy",15017
"1074","@mintynkks",14996
"1075","@chrissydee",14990
"1076","@mrsantruay",14935
"1077","@bocxtop",14826
"1078","@reyydrew",14824
"1079","@facuortyz",14802
"1080","@DrDenaGrayson",14798
"1081","@arvindkejriwal",14793
"1082","@ejln",14792
"1083","@nazrih",14663
"1084","@crberginmd",14504
"1085","@dykejones69",14431
"1086","@sendcats",14424
"1087","@Brado84",14412
"1088","@Dystopia992",14402
"1089","@alinao17",14384
"1090","@RyanAFournier",14343
"1091","@4lisaguerrero",14184
"1092","@julifaita",14131
"1093","@tpagon",14123
"1094","@yungskuntebony",14122
"1095","@datukhensem",14099
"1096","@thespicequeen",14089
"1097","@TonsTweetings",14065
"1098","@nygovcuomo",14050
"1099","@davidschneider",14040
"1100","@PugMafia2",14010
"1101","@minjinlee11",13966
"1102","@tapuyatarairiu",13964
"1103","@WesleyLowery",13933
"1104","@thomasvconti",13889
"1105","@poeticj59274248",13886
"1106","@AmberHobbs7",13853
"1107","@hermyrahim",13849
"1108","@aajtak",13838
"1109","@nellythamenace",13827
"1110","@gmariah",13760
"1111","@stevehanke",13731
"1112","@juliaksksks",13657
"1113","@emrhaqim",13615
"1114","@kaitlancollins",13532
"1115","@nedajahanbani",13448
"1116","@MMarieSophie",13443
"1117","@ddzinha99",13408
"1118","@hrmoroz",13400
"1119","@qcupid",13363
"1120","@RepMattGaetz",13311
"1121","@benjvmins",13299
"1122","@thelastjaedi",13276
"1123","@gussooficial",13265
"1124","@spin9",13245
"1125","@501Awani",13221
"1126","@FirstGentleman",13213
"1127","@jordanschachtel",13190
"1128","@drmeowza",13158
"1129","@aqfiazfan",13113
"1130","@bnodesk",13112
"1131","@maxiiszvanz",13105
"1132","@stynalane",13060
"1133","@disxpix",13032
"1134","@repmariasalazar",12994
"1135","@draensaari",12901
"1136","@t3rr3z",12850
"1137","@himantabiswa",12835
"1138","@mohdkhairul",12812
"1139","@RepMaxineWaters",12684
"1140","@sandwichghoul",12626
"1141","@thegentledyke",12554
"1142","@biharstudents",12543
"1143","@bidenfinnegan",12539
"1144","@davidlparsons",12470
"1145","@laprofepaos",12457
"1146","@SherriSantosMSN",12361
"1147","@JoshuaPotash",12348
"1148","@booksfightback",12304
"1149","@lamkanahraf",12281
"1150","@fadedinmylastty",12225
"1151","@rachelkiki",12080
"1152","@nursesheepie",12071
"1153","@dylanthyme",12062
"1154","@rominasandeer",11972
"1155","@CMOyeks",11948
"1156","@nigelfarage",11921
"1157","@scenyor",11882
"1158","@armandhani",11834
"1159","@grosdoriane",11699
"1160","@itsjoebro",11680
"1161","@AfricaFactsZone",11555
"1162","@nextgaara",11555
"1163","@dobbyclub06",11523
"1164","@cixdle",11398
"1165","@pompopai",11372
"1166","@bioleticia",11291
"1167","@sofiiherrera",11290
"1168","@DrDzul",11284
"1169","@ashakiiii",11281
"1170","@outiowill",11278
"1171","@chairmanglc",11273
"1172","@yiyieeen",11266
"1173","@i27ss",11241
"1174","@bnonews",11194
"1175","@MyFavsTrash",11009
"1176","@senronjohnson",10894
"1177","@travisakers",10763
"1178","@willtbh",10746
"1179","@helpmeimskek",10720
"1180","@ranojpegu",10678
"1181","@ABC",10652
"1182","@drtomfrieden",10631
"1183","@Pogllins",10620
"1184","@shawnsbreathin",10547
"1185","@possiblymadness",10347
"1186","@ijaicool",10346
"1187","@ayoair",10214
"1188","@DearDean22",10192
"1189","@OfficiallyAlly",10177
"1190","@5ecretnumber",10174
"1191","@peepzii",10162
"1192","@takterqyira",10083
"1193","@antoniokeko9",10080
"1194","@thestandardth",10008
"1195","@acaiijawe",9972
"1196","@suthichai",9963
"1197","@BolsonaroSP",9957
"1198","@ieralee",9893
"1199","@ol7nnon",9883
"1200","@anthraxxxx",9876
"1201","@felipeneto",9795
"1202","@tastefullytayy",9651
"1203","@nongbuahup",9639
"1204","@NCStinn",9583
"1205","@goodmiad",9529
"1206","@jonijonijoni",9519
"1207","@YouTube",9474
"1208","@sudarush",9428
"1209","@betsyrodriguez",9397
"1210","@NicholsUprising",9362
"1211","@KHJEsq",9332
"1212","@samanthariggs",9298
"1213","@fAiDaRaveE",9213
"1214","@Imamofpeace",9181
"1215","@dglo4me",9131
"1216","@SecPompeo",9121
"1217","@gladysb",9068
"1218","@beautymilk",9006
"1219","@PanamaRedin215",8985
"1220","@globaltimesnews",8932
"1221","@syazwanismd",8919
"1222","@LBGEEVEE",8737
"1223","@topazine",8686
"1224","@WSJ",8677
"1225","@AhlulQohwah",8671
"1226","@ChinaDaily",8641
"1227","@TheWorldIsY",8533
"1228","@hels",8474
"1229","@reuters",8396
"1230","@tanawatofficial",8336
"1231","@boom13003",8270
"1232","@MoHFWINDIA",8040
"1233","@TrumpWarRoom",7942
"1234","@KarluskaP",7808
"1235","@martineekag",7760
"1236","@CorneliaLG",7741
"1237","@PrinceHAK33M",7676
"1238","@CNNIndonesia",7610
"1239","@SJimons",7540
"1240","@susyrug",7539
"1241","@DrPaulGosar",7526
"1242","@paulettasofia",7526
"1243","@ronkelawal",7512
"1244","@moodyknowsnada",7506
"1245","@popplioikawa",7285
"1246","@eljorrgguod",7249
"1247","@fabiofaria",7193
"1248","@Nazeefah",7126
"1249","@KemluRI",7120
"1250","@prismnolight",7110
"1251","@bease11",7094
"1252","@janyanis",7067
"1253","@business",7055
"1254","@inteldotwav",7033
"1255","@msuppasit",6975
"1256","@DeanHareethhh",6884
"1257","@PDChina",6859
"1258","@HtownBabyG",6735
"1259","@PrisonPlanet",6692
"1260","@ohgeminii",6662
"1261","@ChrisMurphyCT",6555
"1262","@JeromePolin",6506
"1263","@cottoncandaddy",6477
"1264","@TomValletti",6470
"1265","@lachlan",6431
"1266","@WBYeats1865",6403
"1267","@MrVop",6362
"1268","@humangiri",6311
"1269","@bancha333",6300
"1270","@micheljessica",5979
"1271","@tinyunhwa",5934
"1272","@kidmanscill",5884
"1273","@restivogab",5758
"1274","@jdrogers",5698
"1275","@celiasanchezzzz",5690
"1276","@mrspaceman",5606
"1277","@maxbrooksauthor",5555
"1278","@ravaskar",5511
"1279","@Melbrooks",5503
"1280","@jkirk",5442
"1281","@MarwanCendawan",5385
"1282","@ariannalp",5181
"1283","@Nyscalo",5070
"1284","@JordanRowes",4943
"1285","@RomitBMD",4646
"1286","@labisbeticah",4396
"1287","@mysevenwhaliens",4371
"1288","@whcos",4327
"1289","@HyundaiGlobal",4325
"1290","@meaw8588",4265
"1291","@reneeyoxon",4230
"1292","@ConflictsW",4107
"1293","@ANI",3765
"1294","@btsupdatesger",3352
"1295","@HLGatell",3283
"1296","@tagemeiqi",1452
"1297","@FinanzasTime",1430
"1298","@RichardEngel",1427
"1299","@ezracheungtoto",1210
"1300","@StandNewsHK",825
